,Year of manufacture,Make,Model,Transmission type,Km driven,Fuel type,Location,Price (in Rs)
0,2016,Honda,BR-V 1.5L I-VTEC V,Manual,76286.0,Petrol,Goregaon,646000.0
1,2014,Honda,City 1.5L I-VTEC VX,Manual,34473.0,Petrol,Goregaon,525000.0
2,2018,Honda,Jazz 1.2L I-VTEC V AT,Automatic,29442.0,Petrol,Mulund West,623000.0
3,2018,Honda,City 1.5L I-VTEC SV,Manual,29156.0,Petrol,Goregaon,649000.0
4,2022,Honda,City 1.5L I-VTE V CVT,Automatic,14134.0,Petrol,Seawood,1181000.0
5,2017,Honda,City 1.5L I-VTEC SV,Manual,36479.0,Petrol,Mulund West,648000.0
6,2019,Honda,Amaze 1.5L I-DTEC VX CVT,Automatic,44280.0,Diesel,Mulund West,706000.0
7,2018,Honda,WR-V 1.2L I-VTEC VX MT,Manual,59897.0,Petrol,Goregaon,711000.0
8,2019,Honda,City 1.5L I-VTEC VX CVT,Automatic,54705.0,Petrol,Goregaon,958000.0
9,2018,Honda,Amaze 1.2L I-VTEC VX,Manual,58121.0,Petrol,Mulund West,578000.0
10,2016,Honda,Amaze 1.2L I-VTEC S,Manual,93900.0,Petrol,Goregaon,345000.0
11,2017,Honda,BR-V 1.5L I-VTEC V CVT,Automatic,75984.0,Petrol,Goregaon,652000.0
12,2017,Honda,WR-V 1.2L I-VTEC VX MT,Manual,87969.0,Petrol,Goregaon,555000.0
13,2016,Honda,BR-V 1.5L I-VTEC V,Manual,25920.0,Petrol,Goregaon,697000.0
14,2016,Honda,City 1.5L I-VTEC V MT,Manual,63698.0,CNG,Seawood,549000.0
15,2013,Honda,Amaze 1.2L I-VTEC S,Manual,43799.0,Petrol,Mulund West,324000.0
16,2015,Honda,Jazz 1.2L I-VTEC V AT,Automatic,34288.0,Petrol,Goregaon,470000.0
17,2015,Honda,City 1.5L I-VTEC VX,Manual,100831.0,Petrol,Mulund West,446000.0
18,2015,Honda,City 1.5L I-VTEC VX,Manual,18779.0,Petrol,Seawood,609000.0
19,2016,Honda,Jazz 1.2L I-VTEC S AT,Automatic,97692.0,Petrol,Goregaon,407000.0
20,2018,Honda,WR-V 1.2L I-VTEC VX MT,Manual,45344.0,Petrol,Seawood,594000.0
21,2018,Honda,City 1.5L I-VTEC VX,Manual,49716.0,Petrol,Goregaon,787000.0
22,2015,Honda,City 1.5L I-VTEC VX,Manual,61228.0,Petrol,Seawood,505000.0
23,2021,Honda,City 1.5L I-VTEC ZX CVT,Automatic,22827.0,Petrol,Mulund West,1290000.0
24,2017,Honda,Jazz 1.2L I-VTEC V AT,Automatic,45773.0,Petrol,Mulund West,457000.0
25,2014,Honda,City 1.5L I-VTEC SV CVT,Automatic,45962.0,Petrol,Goregaon,476000.0
26,2020,Honda,City 1.5L I-VTEC ZX,Manual,27473.0,Petrol,Goregaon,1014000.0
27,2018,Honda,City 1.5L I-VTEC V MT,Manual,47801.0,Petrol,Goregaon,723000.0
28,2020,Honda,WR-V 1.2L I-VTEC VX MT,Manual,42897.0,Petrol,Mulund West,718000.0
29,2017,Honda,City 1.5L I-VTE V CVT,Automatic,32899.0,Petrol,Goregaon,726000.0
30,2018,Honda,City 1.5L I-VTEC V MT,Manual,93703.0,Petrol,Goregaon,661000.0
31,2014,Honda,Amaze 1.2L I-VTEC S,Manual,52803.0,Petrol,Mulund West,359000.0
32,2020,Honda,City 1.5L I-VTEC VX CVT,Automatic,26354.0,Petrol,Goregaon,1019999.9999999999
33,2016,Honda,City 1.5L I-VTEC VX CVT,Automatic,75181.0,Petrol,Seawood,645000.0
34,2016,Honda,Jazz 1.2L I-VTEC V AT,Automatic,37586.0,Petrol,Goregaon,493000.0
35,2018,Honda,WR-V 1.2L I-VTEC VX MT,Manual,22652.0,Petrol,Mulund West,668000.0
36,2021,Honda,Jazz 1.2L I-VTEC ZX CVT,Automatic,10102.0,Petrol,Goregaon,859000.0
37,2017,Honda,City 1.5L I-VTEC V MT,Manual,22437.0,Petrol,Goregaon,708000.0
38,2016,Honda,City 1.5L I-VTEC VX CVT,Automatic,73098.0,Petrol,Goregaon,653000.0
39,2019,Honda,Amaze 1.2L I-VTEC V CVT,Automatic,39531.0,Petrol,Seawood,686000.0
40,2018,Honda,WR-V 1.5L I-DTEC VX MT,Manual,100986.0,Diesel,Mulund West,703000.0
41,2017,Honda,City 1.5L I-VTEC V MT,Manual,38411.0,Petrol,Seawood,658000.0
42,2022,Honda,Jazz 1.2L I-VTEC VX CVT,Automatic,4980.0,Petrol,Seawood,865000.0
43,2017,Honda,City 1.5L I-VTEC SV,Manual,38474.0,Petrol,Mulund West,659000.0
44,2014,Honda,Brio VX MT,Manual,69540.0,Petrol,Mulund West,302000.0
45,2017,Honda,WR-V 1.2L I-VTEC VX MT,Manual,40290.0,Petrol,Goregaon,634000.0
46,2013,Honda,City 1.5L I-VTEC S MT,Manual,43524.0,Petrol,Goregaon,386000.0
47,2019,Honda,Jazz 1.2L I-VTEC VX CVT,Automatic,15733.0,Petrol,Goregaon,705000.0
48,2014,Honda,City 1.5L I-VTEC VX,Manual,75123.0,Petrol,Goregaon,501999.99999999994
49,2019,Honda,Amaze 1.2L I-VTEC S,Manual,6868.0,Petrol,Goregaon,569000.0
50,2018,Honda,City 1.5L I-VTEC VX CVT,Automatic,57911.0,Petrol,Mulund West,839000.0
51,2014,Honda,City 1.5L I-VTEC SV,Manual,91659.0,Petrol,Goregaon,467000.0
52,2019,Honda,Amaze 1.2L I-VTEC S,Manual,19994.0,Petrol,Seawood,569000.0
53,2017,Honda,WR-V 1.2L I-VTEC VX MT,Manual,36715.0,Petrol,Mulund West,660000.0
54,2018,Honda,Amaze 1.2L I-VTEC VX,Manual,47710.0,Petrol,Seawood,545000.0
55,2017,Honda,City 1.5L I-VTEC ZX CVT,Automatic,33825.0,Petrol,Mulund West,768000.0
56,2019,Honda,WR-V 1.2L I-VTEC VX MT,Manual,70985.0,Petrol,Seawood,640000.0
57,2017,Honda,City 1.5L I-VTEC SV,Manual,49696.0,Petrol,Goregaon,578000.0
58,2018,Honda,Jazz 1.2L I-VTEC V AT,Automatic,20919.0,Petrol,Mulund West,586000.0
